#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1778 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:117 out:114 type:P dur:2 cpbdur:2 q:19.55 aq:10.53 tex:96490 mv:1082 misc:4580 imb:25 pmb:1136 smb:6999 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:19.73 aq:18.82 tex:796 mv:139 misc:545 imb:0 pmb:27 smb:8133 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:19.82 aq:20.35 tex:111 mv:72 misc:465 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:19.64 aq:17.20 tex:175 mv:87 misc:434 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:19.04 aq:10.38 tex:121783 mv:1439 misc:5122 imb:39 pmb:1418 smb:6703 d:- ref:0 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:19.30 aq:20.42 tex:938 mv:315 misc:579 imb:0 pmb:37 smb:8123 d:- ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:19.42 aq:22.44 tex:102 mv:124 misc:422 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:19.17 aq:21.00 tex:77 mv:48 misc:435 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:18.37 aq:9.82 tex:177742 mv:1696 misc:5658 imb:76 pmb:1863 smb:6221 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:18.71 aq:17.92 tex:5181 mv:716 misc:671 imb:5 pmb:86 smb:8069 d:- ref:0 ;
